"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
123,100.168194739042,114.868031654008,"8035.240429192700_sel121_729.9457542.wav",729.9457542,-176.6,40,1000
61,97.9007578569471,114.666214617657,"8035.240429192700_sel122_732.7957234.wav",732.7957234,-176.6,40,1000
61,98.5318611165886,113.724559803475,"8035.240429192700_sel123_818.3244.wav",818.3244,-176.6,40,1000
61,95.5381822941973,112.789212296216,"8035.240429192700_sel124_853.3798861.wav",853.3798861,-176.6,40,1000
170,87.6782137526063,110.256718417434,"8035.240429192700_sel125_908.0445833.wav",908.0445833,-176.6,40,1000
129,95.7580807227226,113.461201521243,"8035.240429192700_sel126_949.2509936.wav",949.2509936,-176.6,40,1000
53,95.2583843303601,115.014820653513,"8035.240429192700_sel127_1019.205051.wav",1019.205051,-176.6,40,1000
121,98.5319897705884,114.125801462144,"8035.240429192700_sel128_999.6325295.wav",999.6325295,-176.6,40,1000
160,93.6365187226967,113.625421122388,"8035.240429192700_sel129_934.3757723.wav",934.3757723,-176.6,40,1000
40,105.560375734421,125.774606772056,"8035.240429192700_sel13_281.2226353.wav",281.2226353,-176.6,40,1000
121,93.0058060655493,115.121081364162,"8035.240429192700_sel130_814.0831618.wav",814.0831618,-176.6,40,1000
160,95.6874468881025,115.475092733757,"8035.240429192700_sel131_726.779217.wav",726.779217,-176.6,40,1000
53,94.52006686676,116.232774549312,"8035.240429192700_sel132_682.0391049.wav",682.0391049,-176.6,40,1000
270,95.2222528277628,116.570735625434,"8035.240429192700_sel133_619.5404844.wav",619.5404844,-176.6,40,1000
121,96.9026393725314,117.961728843944,"8035.240429192700_sel134_479.0593009.wav",479.0593009,-176.6,40,1000
121,104.57939673585,120.311341668394,"8035.240429192700_sel135_310.406718.wav",310.406718,-176.6,40,1000
121,104.252840664003,121.406703957877,"8035.240429192700_sel136_214.9662317.wav",214.9662317,-176.6,40,1000
121,108.053428454499,121.390375828362,"8035.240429192700_sel137_166.9961547.wav",166.9961547,-176.6,40,1000
120,103.505241794002,117.958633339325,"8035.240429192700_sel138_390.5684259.wav",390.5684259,-176.6,40,1000
120,96.8804459286975,115.141739232751,"8035.240429192700_sel139_526.4602623.wav",526.4602623,-176.6,40,1000
45,108.925748982317,127.389622181746,"8035.240429192700_sel14_286.3156917.wav",286.3156917,-176.6,40,1000
120,95.3410373652735,113.986774144417,"8035.240429192700_sel140_613.6801282.wav",613.6801282,-176.6,40,1000
