"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1691",2025-02-05,10,0,0
"1692",2025-02-05,11,0,0
"1693",2025-02-05,12,0,0
"1694",2025-02-05,13,0,0
"1695",2025-02-05,14,0,0
"1696",2025-02-05,15,0,0
"1697",2025-02-05,16,0,0
"1698",2025-02-05,17,0,0
"1699",2025-02-05,18,0,0
"1700",2025-02-05,19,0,0
"1701",2025-02-05,20,0,0
"1702",2025-02-05,21,0,0
"1703",2025-02-05,22,0,0
"1704",2025-02-05,23,0,0
"1705",2025-02-06,0,0,0
"1706",2025-02-06,1,0,0
"1707",2025-02-06,2,0,0
"1708",2025-02-06,3,0,0
"1709",2025-02-06,4,0,0
"1710",2025-02-06,5,0,0
"1711",2025-02-06,6,0,0
"1712",2025-02-06,7,0,0
"1713",2025-02-06,8,0,0
"1714",2025-02-06,9,0,0
"1715",2025-02-06,10,0,0
"1716",2025-02-06,11,0,0
"1717",2025-02-06,12,0,0
"1718",2025-02-06,13,0,0
"1719",2025-02-06,14,0,0
"1720",2025-02-06,15,0,0
"1721",2025-02-06,16,0,0
"1722",2025-02-06,17,0,0
"1723",2025-02-06,18,0,0
"1724",2025-02-06,19,0,0
"1725",2025-02-06,20,0,0
"1726",2025-02-06,21,0,0
"1727",2025-02-06,22,0,0
"1728",2025-02-06,23,0,0
"1729",2025-02-07,0,0,0
"1730",2025-02-07,1,0,0
"1731",2025-02-07,2,0,0
"1732",2025-02-07,3,0,0
"1733",2025-02-07,4,0,0
"1734",2025-02-07,5,0,0
"1735",2025-02-07,6,0,0
"1736",2025-02-07,7,0,0
"1737",2025-02-07,8,0,0
"1738",2025-02-07,9,0,0
"1739",2025-02-07,10,0,0
"1740",2025-02-07,11,0,0
"1741",2025-02-07,12,0,0
"1742",2025-02-07,13,0,0
"1743",2025-02-07,14,0,0
"1744",2025-02-07,15,0,0
"1745",2025-02-07,16,0,0
"1746",2025-02-07,17,0,0
"1747",2025-02-07,18,0,0
"1748",2025-02-07,19,0,0
"1749",2025-02-07,20,0,0
"1750",2025-02-07,21,0,0
"1751",2025-02-07,22,0,0
"1752",2025-02-07,23,0,0
"1753",2025-02-08,0,0,0
"1754",2025-02-08,1,0,0
"1755",2025-02-08,2,0,0
"1756",2025-02-08,3,0,0
"1757",2025-02-08,4,0,0
"1758",2025-02-08,5,0,0
"1759",2025-02-08,6,0,0
"1760",2025-02-08,7,0,0
"1761",2025-02-08,8,0,0
"1762",2025-02-08,9,0,0
"1763",2025-02-08,10,0,0
"1764",2025-02-08,11,0,0
"1765",2025-02-08,12,0,0
"1766",2025-02-08,13,0,0
"1767",2025-02-08,14,0,0
"1768",2025-02-08,15,0,0
"1769",2025-02-08,16,0,0
"1770",2025-02-08,17,0,0
"1771",2025-02-08,18,0,0
"1772",2025-02-08,19,0,0
"1773",2025-02-08,20,0,0
"1774",2025-02-08,21,0,0
"1775",2025-02-08,22,0,0
"1776",2025-02-08,23,0,0
"1777",2025-02-09,0,0,0
"1778",2025-02-09,1,0,0
"1779",2025-02-09,2,0,0
"1780",2025-02-09,3,0,0
"1781",2025-02-09,4,0,0
"1782",2025-02-09,5,0,0
"1783",2025-02-09,6,0,0
"1784",2025-02-09,7,0,0
"1785",2025-02-09,8,0,0
"1786",2025-02-09,9,0,0
"1787",2025-02-09,10,0,0
"1788",2025-02-09,11,0,0
"1789",2025-02-09,12,0,0
"1790",2025-02-09,13,0,0
"1791",2025-02-09,14,0,0
"1792",2025-02-09,15,0,0
"1793",2025-02-09,16,0,0
"1794",2025-02-09,17,0,0
"1795",2025-02-09,18,0,0
"1796",2025-02-09,19,0,0
"1797",2025-02-09,20,0,0
"1798",2025-02-09,21,0,0
"1799",2025-02-09,22,0,0
"1800",2025-02-09,23,0,0
"1801",2025-02-10,0,0,0
"1802",2025-02-10,1,0,0
"1803",2025-02-10,2,1,0
"1804",2025-02-10,3,0,0
"1805",2025-02-10,4,0,0
"1806",2025-02-10,5,0,0
"1807",2025-02-10,6,0,0
"1808",2025-02-10,7,0,0
"1809",2025-02-10,8,0,0
"1810",2025-02-10,9,0,0
"1811",2025-02-10,10,0,0
"1812",2025-02-10,11,0,0
"1813",2025-02-10,12,0,0
"1814",2025-02-10,13,0,0
"1815",2025-02-10,14,0,0
"1816",2025-02-10,15,0,0
"1817",2025-02-10,16,0,0
"1818",2025-02-10,17,0,0
"1819",2025-02-10,18,0,0
"1820",2025-02-10,19,0,0
"1821",2025-02-10,20,0,0
"1822",2025-02-10,21,0,0
"1823",2025-02-10,22,0,0
"1824",2025-02-10,23,0,0
"1825",2025-02-11,0,0,0
"1826",2025-02-11,1,0,0
"1827",2025-02-11,2,0,0
"1828",2025-02-11,3,0,0
"1829",2025-02-11,4,0,0
"1830",2025-02-11,5,0,0
"1831",2025-02-11,6,0,0
"1832",2025-02-11,7,0,0
"1833",2025-02-11,8,0,0
"1834",2025-02-11,9,0,0
"1835",2025-02-11,10,0,0
"1836",2025-02-11,11,0,0
"1837",2025-02-11,12,0,0
"1838",2025-02-11,13,0,0
"1839",2025-02-11,14,0,0
"1840",2025-02-11,15,0,0
"1841",2025-02-11,16,0,0
"1842",2025-02-11,17,0,0
"1843",2025-02-11,18,0,0
"1844",2025-02-11,19,0,0
"1845",2025-02-11,20,0,0
"1846",2025-02-11,21,0,0
"1847",2025-02-11,22,0,0
"1848",2025-02-11,23,0,0
"1849",2025-02-12,0,0,0
"1850",2025-02-12,1,0,0
"1851",2025-02-12,2,0,0
"1852",2025-02-12,3,0,0
"1853",2025-02-12,4,0,0
"1854",2025-02-12,5,0,0
"1855",2025-02-12,6,0,0
"1856",2025-02-12,7,0,0
"1857",2025-02-12,8,0,0
"1858",2025-02-12,9,0,0
"1859",2025-02-12,10,0,0
"1860",2025-02-12,11,0,0
"1861",2025-02-12,12,0,0
"1862",2025-02-12,13,0,0
"1863",2025-02-12,14,0,0
"1864",2025-02-12,15,0,0
"1865",2025-02-12,16,0,0
"1866",2025-02-12,17,0,0
"1867",2025-02-12,18,0,0
"1868",2025-02-12,19,0,0
"1869",2025-02-12,20,0,0
"1870",2025-02-12,21,0,0
"1871",2025-02-12,22,0,0
"1872",2025-02-12,23,0,0
"1873",2025-02-13,0,0,0
"1874",2025-02-13,1,0,0
"1875",2025-02-13,2,0,0
"1876",2025-02-13,3,0,0
"1877",2025-02-13,4,0,0
"1878",2025-02-13,5,0,0
"1879",2025-02-13,6,0,0
"1880",2025-02-13,7,0,0
"1881",2025-02-13,8,0,0
"1882",2025-02-13,9,0,0
"1883",2025-02-13,10,0,0
"1884",2025-02-13,11,0,0
"1885",2025-02-13,12,0,0
"1886",2025-02-13,13,0,0
"1887",2025-02-13,14,0,0
"1888",2025-02-13,15,0,0
"1889",2025-02-13,16,0,1
"1890",2025-02-13,17,0,0
"1891",2025-02-13,18,0,0
"1892",2025-02-13,19,0,0
"1893",2025-02-13,20,0,0
"1894",2025-02-13,21,0,0
"1895",2025-02-13,22,0,0
"1896",2025-02-13,23,0,0
"1897",2025-02-14,0,0,0
"1898",2025-02-14,1,0,0
"1899",2025-02-14,2,0,0
"1900",2025-02-14,3,0,0
"1901",2025-02-14,4,0,0
"1902",2025-02-14,5,0,0
"1903",2025-02-14,6,0,0
"1904",2025-02-14,7,0,0
"1905",2025-02-14,8,0,0
"1906",2025-02-14,9,0,0
"1907",2025-02-14,10,0,0
"1908",2025-02-14,11,0,0
"1909",2025-02-14,12,0,0
"1910",2025-02-14,13,0,0
"1911",2025-02-14,14,0,0
"1912",2025-02-14,15,0,0
"1913",2025-02-14,16,0,0
"1914",2025-02-14,17,0,0
"1915",2025-02-14,18,0,0
"1916",2025-02-14,19,0,0
"1917",2025-02-14,20,0,0
"1918",2025-02-14,21,0,0
"1919",2025-02-14,22,0,0
"1920",2025-02-14,23,0,0
"1921",2025-02-15,0,0,0
"1922",2025-02-15,1,0,0
